Year,Apples,Beef - modified land,Beef - natural land,Citrus,Cotton,Dairy - modified land,Dairy - natural land,Grapes,Hay,Nuts,Other non-cereal crops,Pears,Plantation fruit,Rice,Sheep - modified land,Sheep - natural land,Stone fruit,Sugar,Summer cereals,Summer legumes,Summer oilseeds,Tropical stone fruit,Vegetables,Winter cereals,Winter legumes,Winter oilseeds
2020,25.8183349609375,32821.8325,0.0,152.98466796875,108.547451171875,264.50408203125,0.0,814.18703125,24.7053369140625,301.5192578125,972.80109375,0.0,84.5640625,0.0,23952.4125,0.0,174.07126953125,351.2414453125,0.0,0.0,0.0,24.879638671875,529.7604296875,0.0,0.0,0.0
2021,25.8183349609375,38380.83,0.0,152.98466796875,108.547451171875,293.82103515625,0.0,839.530234375,49.410673828125,301.5192578125,997.394375,0.0,112.944345703125,0.0,24643.4675,0.0,198.5189453125,431.8498828125,0.0,0.0,0.0,24.879638671875,552.5084375,0.0,0.0,0.0
2022,25.8183349609375,45171.495,0.0,152.98466796875,108.547451171875,293.82103515625,0.0,865.304921875,49.410673828125,301.5192578125,1070.996640625,0.0,112.944345703125,0.0,26520.77,0.0,198.9508984375,569.2793359375,0.0,0.0,0.0,24.879638671875,575.8428125,0.0,0.0,0.0
2023,25.8183349609375,51506.97,0.0,152.98466796875,108.547451171875,352.6059375,0.0,890.541484375,49.410673828125,301.5192578125,1094.548984375,0.0,112.944345703125,355.99359375,30894.55,0.0,198.9346484375,683.286328125,0.0,0.0,0.0,24.879638671875,599.0192578125,0.0,0.0,0.0
2024,25.8183349609375,60181.765,0.0,152.98466796875,108.547451171875,377.68859375,0.0,915.762734375,49.410673828125,328.61515625,1144.49640625,0.0,112.944345703125,355.99359375,34174.7575,0.0,198.9346484375,822.224609375,0.0,0.0,0.0,24.879638671875,622.195625,0.0,0.0,0.0
2025,25.8183349609375,65972.375,0.0,152.98466796875,108.547451171875,377.68859375,0.0,939.8725,49.410673828125,356.7424609375,1169.47015625,0.0,112.944345703125,381.09171875,33816.5475,0.0,198.9346484375,906.202265625,0.0,0.0,0.0,49.743525390625,645.4950390625,0.0,0.0,0.0
2026,25.8183349609375,72055.65,0.0,178.5679296875,108.547451171875,377.68859375,0.0,964.720625,49.410673828125,329.6465625,1194.42828125,0.0,112.944345703125,381.09171875,34181.49,0.0,198.9346484375,1021.394921875,0.0,0.0,0.0,24.879638671875,645.4950390625,0.0,0.0,0.0
2027,51.709091796875,78075.49,0.0,178.5679296875,239.56232421875,411.279765625,0.0,1014.194921875,49.410673828125,329.6465625,1219.37078125,0.0,112.944345703125,557.62515625,37671.125,0.0,223.39859375,1107.585625,0.0,0.0,0.0,49.743525390625,645.4950390625,0.0,0.0,0.0
2028,51.709091796875,81965.395,0.0,178.5679296875,1877.08359375,351.0094921875,0.0,1014.52953125,49.410673828125,356.7424609375,1244.313125,0.0,141.304013671875,557.62515625,40095.745,0.0,223.39859375,1191.474609375,0.0,0.0,0.0,49.743525390625,668.846875,0.0,0.0,0.0
2029,51.709091796875,84422.3,0.0,178.5679296875,2335.31578125,349.06359375,0.0,1039.23484375,124.308427734375,356.7424609375,1268.249765625,0.0,141.304013671875,557.62515625,44399.76,0.0,223.39859375,1275.30796875,0.0,0.0,0.0,49.743525390625,691.9703125,244.96296875,0.0,0.0
2030,51.709091796875,125134.67749999999,0.0,204.07671875,2692.7290625,690.3933984375,0.0,1063.87625,124.308427734375,383.8257421875,1293.1921875,0.0,141.304013671875,582.6301171875,46653.98,0.0,223.39859375,1883.23625,0.0,0.0,0.0,49.743525390625,691.75953125,522.8935546875,0.0,0.0
2031,51.709091796875,131879.085,0.0,204.07671875,2336.8290625,568.86880859375,0.0,1114.77390625,124.308427734375,411.9423046875,1318.05609375,0.0,168.82953125,582.6301171875,38489.4225,0.0,247.8300390625,1883.23625,0.0,0.0,0.0,49.743525390625,691.75953125,445.891796875,0.0,0.0
2032,51.709091796875,136083.685,0.0,204.07671875,2309.86046875,489.20837890625,0.0,1140.20765625,124.308427734375,384.9098046875,1318.27609375,0.0,168.82953125,608.04890625,37015.64,0.0,247.8300390625,1649.6221875,0.0,0.0,0.0,49.743525390625,714.900625,622.3086328125,0.0,0.0
2033,51.709091796875,209628.16999999998,0.0,178.50830078125,2392.81859375,4243.80671875,246.59091796875,1165.865,124.308427734375,411.955,1318.27609375,0.0,168.82953125,583.04390625,35258.005,0.0,247.8300390625,1620.4034375,0.0,0.0,0.0,49.743525390625,714.900625,1457.026875,0.0,0.0
2034,51.709091796875,327936.47,0.0,178.38873046875,2365.95359375,8932.3121484375,374.4967578125,1190.72890625,124.308427734375,411.955,1343.23421875,0.0,168.82953125,608.417421875,34205.565,0.0,247.8300390625,1396.87546875,0.0,0.0,0.0,49.743525390625,714.36671875,1788.61296875,0.0,0.0
2035,51.709091796875,336168.0,0.0,203.9571484375,2531.150625,11975.1294921875,1295.5259375,1215.576953125,1229.638671875,439.9623046875,1367.95875,0.0,141.304013671875,608.417421875,45203.24,0.0,247.8300390625,3186.593125,26.30099609375,0.0,0.0,49.743525390625,737.096640625,5937.61125,399.531796875,0.0
2036,51.709091796875,326970.12,0.0,203.9571484375,2504.05484375,12425.4112109375,1295.5259375,1240.0246875,1353.97921875,439.9623046875,1342.79890625,0.0,141.304013671875,605.56578125,45203.25,0.0,273.5461328125,3535.4134375,80.940859375,195.685234375,0.0,49.743525390625,737.096640625,7202.97,399.531796875,0.0
2037,51.709091796875,317832.1,0.0,203.9571484375,2531.8253125,11588.697304687501,1322.87046875,1265.51859375,1454.925625,439.9623046875,1317.79390625,0.0,141.304013671875,605.56578125,44624.035,0.0,273.5461328125,4119.12,81.885927734375,195.685234375,105.3834375,49.743525390625,737.096640625,11494.47125,425.1001953125,0.0
2038,51.709091796875,308548.7,0.0,203.9571484375,2450.62703125,12788.5915625,1312.92140625,1265.51859375,1545.084375,468.0895703125,1292.882890625,0.0,141.304013671875,580.3291796875,44519.475,0.0,273.5461328125,4206.730625,300.99525390625,223.592421875,105.3834375,49.743525390625,713.7796875,12020.90625,450.653671875,0.0
2039,51.709091796875,295965.20999999996,0.0,203.9571484375,3122.125625,12695.82984375,1383.1634375,1316.09046875,1520.685625,441.044375,1267.94046875,0.0,141.304013671875,580.3291796875,41198.48,0.0,273.5461328125,4410.444375,300.99525390625,223.592421875,0.0,49.743525390625,713.7796875,12370.2225,450.653671875,26.09089599609375
2040,51.709091796875,283269.62,53316.655,203.9571484375,4497.583125,13918.48703125,1454.93125,1316.09046875,1967.3565625,469.007421875,1242.98234375,0.0,141.304013671875,580.3291796875,38165.315,0.0,273.991484375,4381.135625,327.31009765625,223.592421875,0.0,49.743525390625,713.7796875,12860.57375,400.8002734375,1609.83859375
2041,51.709091796875,272417.2,274518.2,203.9571484375,4717.15625,14025.264843750001,1552.0353125,1316.96,1997.395625,469.007421875,1242.98234375,0.0,169.64298828125,580.3291796875,36050.865,0.0,273.991484375,4351.7703125,327.31009765625,223.592421875,0.0,49.743525390625,713.7796875,13137.7475,326.00427734375,1609.83859375
2042,51.709091796875,262303.36,280458.16,203.9571484375,5597.04625,15563.3865625,1673.37203125,1291.48125,2513.43015625,469.007421875,1242.98234375,0.0,169.64298828125,580.3291796875,32059.14,0.0,273.991484375,4295.321875,327.31009765625,223.592421875,0.0,49.743525390625,690.4978125,14980.23875,300.9993359375,1609.83859375
2043,51.709091796875,247018.78,294765.0,203.9571484375,5676.86,14956.10765625,1935.573125,1291.48125,3087.47375,469.007421875,1217.97734375,0.0,169.64298828125,580.3291796875,27136.905,0.0,247.8300390625,4266.005,245.2648046875,223.592421875,0.0,49.743525390625,690.4978125,17011.05375,429.92,1906.79625
2044,51.709091796875,230700.34,301760.36,203.9571484375,5511.961875,16842.254999999997,2229.7875,1291.723515625,3692.5225,469.007421875,1192.956875,0.0,169.64298828125,555.046796875,22986.58,0.0,247.8300390625,4208.5796875,108.37162109375,250.7387109375,0.0,49.743525390625,690.4978125,24745.9175,355.0301953125,5825.09
2045,25.8907568359375,220167.695,309157.36,230.31001953125,5377.42125,18443.6340625,2569.3434375,1291.723515625,4175.178125,469.007421875,1167.936328125,0.0,169.64298828125,555.046796875,17568.34,0.0,247.8300390625,4179.1365625,80.978388671875,304.5726953125,26.16142822265625,49.743525390625,690.4978125,33857.72,463.0271484375,10061.7875
2046,25.8907568359375,205437.77000000002,323961.44,230.31001953125,5429.49875,21255.184999999998,3136.97875,1318.03453125,4555.948125,497.9053125,1118.7609375,0.0,169.64298828125,555.046796875,12075.0975,0.0,247.7515625,4125.1975,27.3322802734375,304.3820703125,78.6244921875,49.743525390625,690.4978125,54427.05,464.674765625,10240.55375
2047,25.8907568359375,191864.53,331145.44,230.31001953125,5236.438125,21737.809374999997,3599.6475,1318.6653125,4898.365,497.9053125,1043.539921875,0.0,169.64298828125,555.046796875,8268.48,0.0,247.7515625,4068.1578125,27.3322802734375,304.3820703125,183.29765625,49.743525390625,667.35671875,82031.1,4912.81625,12327.1175
2048,25.8907568359375,169394.21000000002,338406.4,230.31001953125,5064.44125,22532.241875,4137.125625,1318.6653125,4937.9340625,498.958671875,1019.01125,0.0,169.64298828125,555.046796875,5815.533125,0.0,247.7515625,4011.18625,26.4248876953125,304.3820703125,183.29765625,49.743525390625,667.35671875,112527.94,5549.75625,13834.52375
2049,25.8907568359375,152545.745,353304.36,230.31001953125,4844.1203125,24126.80625,4759.908125,1321.05546875,4945.4025,499.6025390625,970.973125,0.0,141.304013671875,560.7248828125,3603.02125,0.0,273.9130078125,3984.065,687.71953125,304.3820703125,209.9919921875,49.743525390625,667.35671875,145490.85,6790.94875,14935.505
2050,25.8907568359375,134893.265,361294.2,230.72908203125,4554.651875,24863.591249999998,5111.085,1321.5215625,4872.2609375,499.6025390625,947.814375,0.0,170.36892578125,560.7248828125,42794.71125,84530.94,248.1519921875,3923.5325,2243.4528125,304.3820703125,209.9919921875,49.743525390625,667.35671875,164623.21,10836.995,15201.4625
